id_venda,data,cliente,regiao,estado,produto,categoria,quantidade,preco_unitario,desconto,valor_total,canal,forma_pagamento
104,2025-09-25,Empresa Nova,Nordeste,CE,Mesa Escritório,Móveis,4,780,0.05,2964.0,Loja Física,Boleto
105,2025-11-14,Empresa Horizonte,Sudeste,RJ,Notebook Pro 14,Eletrônicos,5,4200,0.15,17850.0,E-commerce,Cartão de Crédito
106,2025-12-05,Empresa Beta,Sul,RS,Monitor 24,Eletrônicos,2,950,0.0,1900.0,E-commerce,Pix
107,2025-07-29,Empresa Alpha,Centro-Oeste,DF,Webcam Full HD,Eletrônicos,6,260,0.1,1404.0,E-commerce,Cartão de Crédito
108,2025-12-28,Empresa Ômega,Sudeste,RJ,Headset Gamer,Periféricos,6,290,0.05,1653.0,Marketplace,Boleto
109,2025-12-05,Empresa Gama,Sul,RS,Mouse Sem Fio,Periféricos,4,180,0.0,720.0,Loja Física,Pix
110,2025-02-06,Empresa Beta,Nordeste,PE,Notebook Pro 14,Eletrônicos,2,4200,0.0,8400.0,Loja Física,Boleto
111,2025-06-05,Empresa Beta,Centro-Oeste,DF,Impressora,Eletrônicos,4,890,0.0,3560.0,Marketplace,Pix
112,2025-08-10,Empresa Beta,Nordeste,BA,Impressora,Eletrônicos,3,890,0.1,2403.0,E-commerce,Boleto
113,2025-10-22,Empresa Alpha,Nordeste,CE,Memória RAM 16GB,Componentes,1,390,0.15,331.5,E-commerce,Cartão de Crédito
114,2025-09-23,Empresa Nova,Sul,RS,HD Externo 2TB,Componentes,4,480,0.0,1920.0,Marketplace,Cartão de Crédito
115,2025-02-16,Empresa Horizonte,Nordeste,PE,Webcam Full HD,Eletrônicos,3,260,0.05,741.0,E-commerce,Pix
116,2025-06-18,Empresa Nova,Nordeste,CE,Mesa Escritório,Móveis,6,780,0.05,4446.0,Marketplace,Pix
117,2025-08-21,Empresa Nova,Nordeste,BA,Monitor 24,Eletrônicos,3,950,0.0,2850.0,Marketplace,Pix
118,2025-12-03,Empresa Sol,Sudeste,RJ,SSD 1TB,Componentes,4,520,0.05,1976.0,Loja Física,Boleto
119,2025-09-13,Empresa Sol,Sul,SC,HD Externo 2TB,Componentes,4,480,0.0,1920.0,E-commerce,Cartão de Crédito
120,2025-08-13,Empresa Vitória,Sudeste,RJ,Impressora,Eletrônicos,4,890,0.0,3560.0,E-commerce,Cartão de Crédito
121,2025-10-10,Empresa Beta,Sudeste,RJ,Notebook Pro 14,Eletrônicos,5,4200,0.05,19950.0,Loja Física,Pix
122,2025-11-28,Empresa Vitória,Nordeste,CE,Teclado Mecânico,Periféricos,4,320,0.15,1088.0,Loja Física,Cartão de Crédito
123,2025-09-05,Empresa Delta,Sul,SC,Webcam Full HD,Eletrônicos,2,260,0.05,494.0,Marketplace,Boleto
124,2025-03-11,Empresa Ômega,Nordeste,CE,Monitor 24,Eletrônicos,3,950,0.05,2707.5,E-commerce,Cartão de Crédito
125,2025-06-02,Empresa Tech,Centro-Oeste,GO,Memória RAM 16GB,Componentes,5,390,0.15,1657.5,Marketplace,Cartão de Crédito
126,2025-06-26,Empresa Sigma,Centro-Oeste,DF,Cadeira Office,Móveis,5,1150,0.1,5175.0,E-commerce,Boleto
127,2025-05-03,Empresa Sigma,Centro-Oeste,GO,Memória RAM 16GB,Componentes,4,390,0.0,1560.0,Marketplace,Cartão de Crédito
128,2025-12-28,Empresa Alpha,Sul,SC,Mesa Escritório,Móveis,4,780,0.15,2652.0,E-commerce,Boleto
129,2025-10-30,Empresa Alpha,Sudeste,MG,Cadeira Office,Móveis,1,1150,0.05,1092.5,Marketplace,Pix
130,2025-07-29,Empresa Sigma,Centro-Oeste,DF,HD Externo 2TB,Componentes,2,480,0.0,960.0,Marketplace,Boleto
131,2025-07-23,Empresa Horizonte,Centro-Oeste,DF,HD Externo 2TB,Componentes,1,480,0.0,480.0,Marketplace,Cartão de Crédito
132,2025-10-05,Empresa Horizonte,Sul,RS,Notebook Pro 14,Eletrônicos,5,4200,0.0,21000.0,Loja Física,Pix
133,2025-02-16,Empresa Gama,Sudeste,MG,Mesa Escritório,Móveis,1,780,0.15,663.0,Marketplace,Cartão de Crédito
134,2025-01-15,Empresa Sigma,Nordeste,PE,Notebook Pro 14,Eletrônicos,3,4200,0.0,12600.0,Loja Física,Pix
135,2025-05-06,Empresa Gama,Sul,PR,SSD 1TB,Componentes,4,520,0.1,1872.0,E-commerce,Boleto
136,2025-07-15,Empresa Gama,Centro-Oeste,MT,Memória RAM 16GB,Componentes,6,390,0.0,2340.0,E-commerce,Cartão de Crédito
137,2025-11-23,Empresa Ômega,Sudeste,MG,Headset Gamer,Periféricos,4,290,0.0,1160.0,Marketplace,Boleto
138,2025-03-22,Empresa Nova,Nordeste,CE,Monitor 24,Eletrônicos,4,950,0.0,3800.0,Marketplace,Cartão de Crédito
139,2025-08-22,Empresa Delta,Centro-Oeste,GO,Headset Gamer,Periféricos,2,290,0.05,551.0,Loja Física,Boleto
140,2025-07-03,Empresa Horizonte,Nordeste,BA,Memória RAM 16GB,Componentes,3,390,0.15,994.5,Loja Física,Cartão de Crédito
141,2025-01-05,Empresa Ômega,Sudeste,MG,Memória RAM 16GB,Componentes,6,390,0.15,1989.0,E-commerce,Boleto
142,2025-06-30,Empresa Vitória,Nordeste,CE,Mouse Sem Fio,Periféricos,6,180,0.0,1080.0,Marketplace,Boleto
143,2025-03-12,Empresa Tech,Sudeste,SP,HD Externo 2TB,Componentes,1,480,0.15,408.0,E-commerce,Boleto
144,2025-07-06,Empresa Vitória,Nordeste,PE,Impressora,Eletrônicos,2,890,0.0,1780.0,Loja Física,Pix
145,2025-04-13,Empresa Ômega,Nordeste,BA,Teclado Mecânico,Periféricos,5,320,0.0,1600.0,Loja Física,Cartão de Crédito
146,2025-06-23,Empresa Horizonte,Sul,PR,Monitor 24,Eletrônicos,4,950,0.0,3800.0,Marketplace,Boleto
147,2025-07-23,Empresa Ômega,Centro-Oeste,GO,SSD 1TB,Componentes,3,520,0.0,1560.0,Marketplace,Pix
148,2025-08-21,Empresa Nova,Nordeste,CE,Cadeira Office,Móveis,6,1150,0.15,5865.0,Marketplace,Cartão de Crédito
149,2025-02-25,Empresa Atlântico,Sudeste,SP,HD Externo 2TB,Componentes,2,480,0.05,912.0,E-commerce,Boleto
150,2025-02-02,Empresa Nova,Nordeste,CE,HD Externo 2TB,Componentes,4,480,0.15,1632.0,E-commerce,Pix
